Opleidingsnaam;Opleidingsnaam DUO - 3b. 2025;Opleidingscode;Subcategorie - NIDAP;Hoofdcategorie - NIDAP ;ISCED-hoofdgroep;ISCED-subgroep;RIO-onderdeel;ROA-opleidingstype;Opmerking;ISCED Rubriek (hoogste detail);ISCED detailgroep (op één na hoogste detail);HO sector;ROA Subsector;ROA Opleidingstype
M Medical Pharmaceutical Sciences;M Medical Pharmaceutical Sciences;60611;Farmacie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;NATUUR;Master - farmacie en gezondsheidswetenschappen;;farmacie;farmacie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Farmacie;M Farmacie;66157;Farmacie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;NATUUR;Master - farmacie en gezondsheidswetenschappen;;farmacie;farmacie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Drug Discovery Sciences;M Drug Discovery Sciences;66989;Farmacie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;NATUUR;Master - farmacie en gezondsheidswetenschappen;;farmacie;farmacie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
B Bio-Farmaceutische Wetenschappen;B Bio-Farmaceutische Wetenschappen;50207;Farmacie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;NATUUR;Bachelor - medische diagnostiek en medische technologie;;farmacie;farmacie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Farmacie;B Farmacie;56157;Farmacie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;NATUUR;Bachelor - medische diagnostiek en medische technologie;;farmacie;farmacie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Farmaceutische Wetenschappen;B Farmaceutische Wetenschappen;56989;Farmacie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;NATUUR;Bachelor - medische diagnostiek en medische technologie;;farmacie;farmacie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
M History and Philosophy of Science;M History and Philosophy of Science;60711;Filosofie;Antropologie, Sociologie, Filosofie en Theologie;vormgeving, kunst, talen en geschiedenis;geesteswetenschappen;NATUUR;Master - taal en cultuur;Interdisciplinair?;filosofie;filosofie en ethiek;Economie en Maatschappij;Kunst, Taal en Cultuur;Taal en Cultuur
M Forensic Science;M Forensic Science;60338;Forensisch Onderzoek en Criminologie;Veiligheid, Forensisch Onderzoek en Criminologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;biochemie, biologische laboratoriumtechniek;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Geographical Sciences;M Geographical Sciences;60732;Geografische data;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Master - wis-, schei-, natuurkunde en geologie;Is ook GIMA schijnbaar;geologie, fysische geografie;aardwetenschappen;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Geographical Information Management and Applications (joint degree);M Geographical Information Management and Applications (joint degree);65030;Geografische data;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;ROA NOG NIET INGEDEELD;;;;;;
B Computer Science;B Computer Science;50426;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Bachelor - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
B Informatiekunde;B Informatiekunde;56842;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Bachelor - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
B Informatica;B Informatica;56978;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Bachelor - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Information Management;M Information Management;60055;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;informatiemanagement;ontwerp en beheer van database en netwerken;Techniek en Ict;Techniek en Ict;Informatica
M ICT in Business and the Public Sector;M ICT in Business and the Public Sector;60205;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;bedrijfsinformatica;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Software Engineering;M Software Engineering;60228;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;applicatiebouw en programmeren;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Information Studies;M Information Studies;60229;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Information Sciences;M Information Sciences;60255;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Computer Science;M Computer Science;60300;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Information Science;M Information Science;60809;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Computer Science (joint degree);M Computer Science (joint degree);65014;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Informatica;M Informatica;66978;ICT;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Creative Intelligence & Technology;M Creative Intelligence & Technology;60206;Industrieel ontwerp;Industrieel ontwerp & Innovatiewetenschappen;vormgeving, kunst, talen en geschiedenis;kunst;NATUUR;Master - kunst;;;;;;
B Science, Business & Innovation;B Science, Business & Innovation;50670;Innovatiewetenschappen en -management;Industrieel ontwerp & Innovatiewetenschappen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;NATUUR;Bachelor - management, bedrijfs- en personeelwetenschappen;;bedrijfstechniek, technische bedrijfsvoering;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Natuurwetenschap en Innovatiemanagement;B Natuurwetenschap en Innovatiemanagement;56982;Innovatiewetenschappen en -management;Industrieel ontwerp & Innovatiewetenschappen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;NATUUR;Bachelor - management, bedrijfs- en personeelwetenschappen;;bedrijfstechniek, technische bedrijfsvoering;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Science and Innovation;M Science and Innovation;60709;Innovatiewetenschappen en -management;Industrieel ontwerp & Innovatiewetenschappen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;NATUUR;Master - management, bedrijfs- en personeelwetenschappen;;bedrijfstechniek, technische bedrijfsvoering;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Natuurwetenschappen en Bedrijf;M Natuurwetenschappen en Bedrijf;60710;Innovatiewetenschappen en -management;Industrieel ontwerp & Innovatiewetenschappen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;NATUUR;Master - management, bedrijfs- en personeelwetenschappen;;bedrijfstechniek, technische bedrijfsvoering;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Science, Business and Innovation;M Science, Business and Innovation;69320;Innovatiewetenschappen en -management;Industrieel ontwerp & Innovatiewetenschappen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;NATUUR;Master - management, bedrijfs- en personeelwetenschappen;;bedrijfstechniek, technische bedrijfsvoering;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Science, Technology & Innovation;B Science, Technology & Innovation;50993;Innovatiewetenschappen en -management;Industrieel ontwerp & Innovatiewetenschappen;techniek, industrie en bouwkunde;techniek en technische dienstverlening;NATUUR;ROA NOG NIET INGEDEELD;Product en technologieontwikkeling;;;;;
B Data Science and Artificial Intelligence;B Data Science and Artificial Intelligence;50300;Kunstmatige Intelligentie;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Bachelor - informatica;Data Science en AI;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
B Artificial Intelligence;B Artificial Intelligence;56945;Kunstmatige Intelligentie;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Bachelor - informatica;;kunstmatige intelligentie en kennistechnologie;informatica overig;Techniek en Ict;Techniek en Ict;Informatica
B Kunstmatige Intelligentie;B Kunstmatige Intelligentie;56981;Kunstmatige Intelligentie;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Bachelor - informatica;;kunstmatige intelligentie en kennistechnologie;informatica overig;Techniek en Ict;Techniek en Ict;Informatica
B Cognitive Science and Artificial Intelligence;B Cognitive Science and Artificial Intelligence;59338;Kunstmatige Intelligentie;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Bachelor - informatica;;kunstmatige intelligentie en kennistechnologie;informatica overig;Techniek en Ict;Techniek en Ict;Informatica
M Cognitive Science and Artificial Intelligence;M Cognitive Science and Artificial Intelligence;60969;Kunstmatige Intelligentie;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Master - informatica;;kunstmatige intelligentie en kennistechnologie;informatica overig;Techniek en Ict;Techniek en Ict;Informatica
M Artificial Intelligence;M Artificial Intelligence;66981;Kunstmatige Intelligentie;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Master - informatica;;kunstmatige intelligentie en kennistechnologie;informatica overig;Techniek en Ict;Techniek en Ict;Informatica
M Hydrology;M Hydrology;60807;Land-, Water- en Resource Management;Aarde, Milieu en Natuurbeheer;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Master - wis-, schei-, natuurkunde en geologie;Ook watercyclus, dus past mogelijk ook bij aardwetenschappen;geologie, fysische geografie;aardwetenschappen;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Educatie en Communicatie in de Bètawetenschappen;M Educatie en Communicatie in de Betawetenschappen;60708;Lerarenopleidingen;Onderwijskunde, Pedagogiek en Lerarenopleidingen;onderwijs;onderwijskunde, lerarenopleidingen en pedagogisch-didactische cursussen;NATUUR;Master - lerarenopleiding algemene en beroepsgerichte vakken;;;;Zorg en Onderwijs;Onderwijs;Lerarenopleiding Algemene en Beroepsgerichte Vakken
B Bèta-gamma;B Beta-gamma;50250;Liberal Arts - breed;Liberal Arts;onbekend of niet gespecifieerd;onbekend of niet gespecifieerd;NATUUR;Bachelor - overig;;onbekend;onbekend of niet gespecifieerd;Overig;Overig;Overig
M Governance of Sustainability;M Governance of Sustainability;60965;Milieu en Duurzaamheid;Aarde, Milieu en Natuurbeheer;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;NATUUR;Master - management, bedrijfs- en personeelwetenschappen;;bestuurskunde algemeen;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Milieu-natuurwetenschappen;B Milieu-natuurwetenschappen;56988;Milieu en Duurzaamheid;Aarde, Milieu en Natuurbeheer;wiskunde, natuurwetenschappen;milieu en natuurbeheer;NATUUR;Bachelor - landbouw, biologie en biochemische technologie;;;;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Environmental Sciences;M Environmental Sciences;60810;Milieu en Duurzaamheid;Aarde, Milieu en Natuurbeheer;wiskunde, natuurwetenschappen;milieu en natuurbeheer;NATUUR;Master - landbouw, biologie en biochemische technologie;;milieukunde;milieu;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Aarde, Economie en Duurzaamheid;B Aarde, Economie en Duurzaamheid;50668;Milieu en Duurzaamheid;Aarde, Milieu en Natuurbeheer;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Bachelor - wis-, schei-, natuurkunde en geologie;;geologie, fysische geografie;aardwetenschappen;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Energy and Environmental Sciences;M Energy and Environmental Sciences;60608;Milieu- en Energietechnologie;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;NATUUR;Master - chemische technologie;;milieutechnologie;milieubescherming en milieutechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
M Biobased Materials;M Biobased Materials;60955;Milieu- en Energietechnologie;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;NATUUR;Master - chemische technologie;;milieutechnologie;milieubescherming en milieutechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
M Energy Science;M Energy Science;60967;Milieu- en Energietechnologie;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;NATUUR;Master - elektrotechniek;;elektrische energietechniek;elektro- en energietechniek;Techniek en Ict;Techniek en Ict;Elektrotechniek
B Molecular and Biophysical Life Sciences;B Molecular and Biophysical Life Sciences;55825;Moleculaire Levenswetenschappen;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Bachelor - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Life Science and Technology;B Life Science and Technology;56286;Moleculaire Levenswetenschappen;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Bachelor - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Molecular Life Sciences;B Molecular Life Sciences;56944;Moleculaire Levenswetenschappen;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Bachelor - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Biomolecular Sciences;M Biomolecular Sciences;60616;Moleculaire Levenswetenschappen;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;moleculaire wetenschappen;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Life Science and Technology;M Life Science and Technology;66286;Moleculaire Levenswetenschappen;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Sterrenkunde;B Sterrenkunde;50205;Natuur- en Sterrenkunde;Wis-, Natuur- en Sterrenkunde;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Bachelor - wis-, schei-, natuurkunde en geologie;;sterrenkunde;natuurkunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
B Natuurkunde;B Natuurkunde;50206;Natuur- en Sterrenkunde;Wis-, Natuur- en Sterrenkunde;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Bachelor - wis-, schei-, natuurkunde en geologie;;natuurkunde;natuurkunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
B Natuur- en Sterrenkunde (joint degree);B Natuur- en Sterrenkunde (joint degree);55013;Natuur- en Sterrenkunde;Wis-, Natuur- en Sterrenkunde;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Bachelor - wis-, schei-, natuurkunde en geologie;;materiaalkunde;natuurkunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
